,Author,Date,text
336,"Contributed, Kim B. Robertson, Marketing Coordinator",3/26/2018 18:18,"Hyun Tech, Inc. located in Clarksville, TN was awarded $25,000 for an Incumbent Worker Training grant.

Hyun Tech, Inc. is a MRO company that works directly with Hankook Tire Factory.

They supply Hankook Tire with equipment and materials that are needed for factory production.

Hyun Tech also provides waste management services for the factory by discarding all scrap tire.

Hyun Tech Assistant Martika Fisher stated, ""This grant has assisted our small company take on additional sales orders from Hankook Tire Factory. We are now able to use a software system that helps our company be more efficient and effective in service delivery.""

The Department of Labor and Workforce Development offers eligible TN Employers competitive grant funding to provide skills upgrades for existing workers or train new hires as an incentive to grow their business.

The Incumbent Worker Training Program is a competitive grant that provides funding to help eligible Tennessee businesses effectively train and retain employees by providing skills upgrades and process improvement training for existing, full-time employees, while the Apprenticeship Training Grant supports Tennessee employers that are interested in starting an apprenticeship program or are already authorized providers of the Registered Apprenticeship Program through US/DOL - Office of Apprenticeships.

If interested in the consolidated business grants, please contact Andrea Dillard at 931.905.3501."
337,Department of Workforce Development,3/26/2018 19:28,"John Burrow came to the Registered Apprenticeship program because he was looking for a change.

Having spent the early part of his professional life in a variety of jobs, John was ready for a career that would lead to stability.

He knew that the trades would provide the benefits, wages and growth potential to support his family and took the initiative to get involved in an apprenticeship program.

Registered Apprenticeship is a program managed by the Wisconsin Department of Workforce Development, in partnership with industry, combining on-the-job training with classroom instruction that allows participants to gain paid work experience while also obtaining the necessary training for their new careers.

""I didn't need to choose between work and school. I was able to make good money and keep a job while getting the training I needed.""

John is training to be a Steamfitter and receives some of the highest quality training available at United Association Local 434, a union for plumbers and steamfitters.

While going back to school can be daunting, John says that the classroom environment is very comfortable and inviting.

He's been able to take his hands-on instruction and apply it directly to his job.

The apprenticeship model is an affordable option and John has been able to benefit from the earn-and-learn concept while financially supporting his wife and two daughters.

""I've been able to change careers and go back to school without going into debt.""

For the past four years, John has worked as a Steamfitter Apprentice for Mechanical Incorporated in Tomahawk, Wisconsin, an industrial and mechanical contractor that services many of the manufacturing and industrial sites in Central Wisconsin.

Mechanical Incorporated has been using the apprenticeship model for nearly 30 years.

Currently, they employ five apprentices in the sheet metal, pipefitter/steamfitter and pipefitter service occupations.

""Registered Apprenticeship allows us to learn about our employees and help train them on our systems and processes before they become journeymen,"" said Mike Merryfield, General Manager.

At Mechanical Incorporated, apprentices work side-by-side with journeyworker and get the advantage of a hands-on experience.

They have a built-in support network at the company and are able to ask the experts around them about the day-to-day work, classroom instruction, and best practices.

In his role, John has been able to grow his skills beyond the Steamfitter occupation and has gained an understanding about customer service from the journeyworkers he works with.

John Burrow is in his fifth and final year of his Steamfitter apprenticeship before he becomes a journeyworker.

He started his career in the trades with Mechanical Incorporated and intends to stay.

""Our apprentices are the most loyal employees. We definitely see a better retention rate from those who went through an apprenticeship,"" Merryfield asserts.

In addition to their loyalty, Mike Merryfield continues to seek apprentices for his business because he wants the best of the best representing Mechanical Incorporated out in the field.

""The Registered Apprenticeship training program is second to none,"" Merryfield avows.

Now, because of his experience with Registered Apprenticeship, John Burrow is now one of the best.

Learn about registered Apprenticeship opinions in your area by contacting your local Apprenticeship Training Representative at WisconsinApprenticeship.org.

Members of the editorial and news staff of the USA Today Network were not involved in the creation of this content.

Read or Share this story: https://gbpg.net/2GxiRzG.."
338,Thomas Lichtenberger,3/27/2018 3:00,"The American industrial sector is at a crossroads. The fourth industrial revolution has ushered in automation and precision manufacturing that increasingly requires highly specialized skills. Employers, government officials and higher education leaders alike are looking for a way for workers to acquire the expertise needed for the jobs of tomorrow.  Apprenticeships are typically associated with Germany, but they are gaining steam in the U.S. After all, there are more than 500,000 Americans currently in apprenticeship programs that offer an alternative pathway to traditional higher education -- one that is capable of bridging the STEM talent gap.

What makes the apprenticeship model so effective is a mix of classroom instruction at a high school, college or university with on-the-job training. That combination is invaluable in a rapidly changing industrial community where extremely specific skill sets are required.  However, colleges, universities or employers interested in starting an apprenticeship program should be wary of simply copying the German model. The two countries? education and training systems are too different. To be successful, the U.S. must adapt the German model. To be certain, this will require work and there may be some missteps along the way, but the long-term benefit is immense."
341,Tim Hennagir,3/27/2018 9:40,"Representatives from Apprenticeship Minnesota at the Minnesota Department of Labor and Industry recently helped a suburban Twin Cities dealer design a new outboard motor technician program that will train six new engine apprentices.

The new program for outboard technicians at Bloomington-based Dan's Southside Marine was announced March 23 prior to the start of the Progressive Insurance Northwest Sportshow, at the end of a career day session inside Fred's Shed, the National Marine Manufacturers Association's interactive educational experience.

""There is such a great opportunity to expand the apprenticeship model in this industry,"" said John Aiken, Minnesota Department of Labor Standards & Apprenticeship director.

Dan's Southside Marine's apprenticeship program was developed as part of the Minnesota Apprenticeship Initiative to expand registered apprenticeship as a workforce development tool.

""We are growing, looking for people to recruit, train and retain, said Steve Chesky, Dan's Southside Marine vice president.""

The MAI is a partnership between the Minnesota Department of Employment and Economic Development and the Minnesota Department of Labor and Industry.

It is funded through a $5 million grant through the U.S. Department of Labor.

26 new MAI programs have begun at businesses across Minnesota, with more than 200 new apprentices.

The goal of MAI is to help more than 100 employers develop apprenticeship programs to recruit, train and retrain 1,000 new apprentices in the industries of advanced manufacturing, agriculture, health care services, information technology and transportation.

Apprenticeship Minnesota helps employers develop and register apprenticeship programs and promote workforce diversity through outreach and education.

Minnesota's apprenticeship program allows employers to design their own apprenticeship program that provides apprentices with specific skills, training and job-related instruction tailored to the company's needs."
344,Staff,3/28/2018 0:00,"YOUNGSTOWN. Manufacturers are looking for employees, and the Mahoning Valley Manufacturers Coalition and Greater Oh-Penn Manufacturing Apprenticeship Network are planning events to help them.

All companies at the recruitment events will seek candidates for full-time employment and entry into apprenticeship training programs.

A $2.9 million grant from the U.S. Department of Labor's American Apprenticeship Initiative program received by the MVMC and the Apprenticeship Network brought the latest apprenticeship innovations to the region.

The competency-based apprenticeship programs developed using the grant funds allow apprentices to ""Test out"" of areas they have previously mastered.

Generally, programs range from 18 months to three to four years.

Tuition is subsidized by up to $5,000 per apprentice in grant funding through the Greater Oh-Penn Apprenticeship Network.

Five apprentice classes starting this fall are three machinist classes at Columbiana County Career and Technical Center; a welder/fitter program at Eastern Gateway Community College in Youngstown; and an industrial maintenance program at Trumbull Career and Technical Center.

The goal is to have 12 apprentices in each program this fall.

Manufacturers using the traditional hours-based apprenticeship programs may take advantage of the fair and grant."
345,Staff,3/28/2018 1:00,"The manufacturing apprenticeship grant program from the Missouri Job Center of St. Charles County now can be used to help train and promote existing employees at local companies in addition to previously publicized eligible new hires, according to a press release.

The facility is the first American Job Center in the state to be certified by the U.S. Department of Labor as a registered apprenticeship program sponsor.

The center received $255,000 in federal and state funding to begin a new manufacturing apprenticeship pilot program.

""I am pleased that this program has been opened up to include current employees,"" said Scott J. Drachnik, executive director of the Missouri Job Center of St. Charles County.

""Now, employers can use this training and wage assistance program to help their existing employees learn new skills and take on new levels of responsibilities in their businesses.""

""Apprenticeships have been around for centuries, but there is a new and growing awareness by businesses and job-seekers across America about this proven method of training workers and filling job openings. We are looking for more local manufacturers to work with to help them hire and train individuals who will receive occupational credentials from the U.S. Department of Labor after they successfully complete this new pilot program.""

Drachnik said there are five core components in the registered apprenticeship program: 1) Training on the job, 2) Classroom training, 3) Work mentorship, 4) Progressive wages, and 5) National occupational credentialing.

The St. Charles County program, which began in 2017, uses a competency-based model which allows expedited advancement based on demonstrated performance, rather than a minimum timeframe spent in training.

Or already have eligible workers, could receive reimbursement of wages for up to six months during their training period.

Participating employers must agree at the outset to hire their apprentice as a full-time employee and wages must start at $12 an hour or higher.

Interested employers and job-seekers who are interested in learning more about this registered apprenticeship program should contact Vicki Swartzenberg at 636-255-6060, ext."
346,TIMES-NEWS,3/28/2018 3:30,"BOISE - A new junior software programming apprenticeship training, called Code-to-Career, has been registered through a partnership between Apprenticeship Idaho and the Idaho Technology Council.

Interested candidates will attend a 12-week immersive coding bootcamp at CodeWorks Boise.

Near the end of the training, candidates will apply for the registered apprenticeship; those selected will start their full-time paid apprenticeship with the employer sponsor, In Time Tec.

During six months of on-the-job training, the apprentice's career will advance with wage increases while building stronger competency.

Upon completion, the apprentice will receive a recognized credential from the U.S. Department of Labor.

Occupations in software development rank No. 1 in Idaho, as projected by the Idaho Department of Labor.

Department analysts expect job opportunities in this area to grow by almost 37 percent from 2014 to 2024.

These jobs pay a median wage above $80,000 per year."
348,Cheyenne Derksen Schroeder McPherson Sentinel,3/28/2018 10:13,"A major expansion on the north side of town is set to bring 100 jobs to McPherson.

Viega LLC is breaking ground for a new manufacturing facility and also plans on bringing a master distribution facility to McPherson.

The new facility brings Viega's total manufacturing square footage in McPherson to 700,000 and is expected to bring around 100 new jobs to the area.

Viega's new 204,000-square-foot facility will manufacture their ProPress Copper product line.

""Due to the continued success of our ProPress product in the U.S. market, we needed additional manufacturing capacity. We've also been very encouraged with the quality and success we've had with the skilled workforce in McPherson,"" wrote Robert Boots, COO of Viega, in a press release.

The company has expanded twice since opening adding more than 170,000 square feet of additional manufacturing space - for carbon steel press fittings in 2014 and copper fittings in 2016.

In addition to the new manufacturing facility, Viega is in the initial planning stages of moving its Atlanta-based master distribution center to McPherson in late 2018.

The master distribution center will house its metal products and the company will also maintain a smaller, satellite distribution center in Atlanta.

The state-of-the-art distribution center will feature the latest technology and automation, as well as an upgraded warehouse management system that will provide faster product turnaround.

""Centralizing Viega's manufacturing and distribution in McPherson is a strategic effort to prepare for the future growth and continued demand of Viega products,"" Boots said.

""This is all part of Viega's commitment to continually provide the best-in-class service that our customers have come to expect.""

Viega's headquarters is in Broomfield, Colorado and has satellite distribution centers in Nevada, Georgia and Pennsylvania, and a training facility in New Hampshire.

As part of the expansion, more apprenticeship opportunities will be available to students.

Launched in January 2017, Viega's Apprenticeship Program is a collaborative effort with Hutchinson Community College.

Viega is also designing a special apprenticeship training lab that gives students hands-on experience with robotics, machining and tooling, as well as a processing lab.

""This program is one strategy that we are using at Viega to respond to the labor shortage that we are experiencing across the nation,"" wrote Eric Wicker, director of manufacturing at Viega, in a press release.

""Our apprenticeship program lays the groundwork for building future technical talent - especially as our manufacturing facility continues to expand.""

Enrolled students receive a three-year associate degree paid in full by Viega, in addition to receiving a paid position for working in Viega's plastics, metals, machining or maintenance divisions, and the potential to earn other employee benefits.

Upon graduation from the apprenticeship program, graduates will be offered full-time positions at Viega.

Currently, two students from the inaugural class are receiving specialized training in plastics technology from Pittsburg State University, a school recognized for its Plastics Engineering Technology Program that emphasizes detailed technical knowledge, as well as real world application.

""As the Apprenticeship Program continues to evolve and gain momentum, we are pleased not only to add additional students, but also that our current students are successfully learning and progressing through the program,"" Wicker said.

""We've had positive responses from both the students and the Viega employees who work alongside them."""
350,ACT Ohio,3/28/2018 13:31,"PRNewswire/ - The role of women in construction has been steadily growing, and in 2017, Ohio.

Saw a 96% increase in the number of women enrolled in its Building Trades' Joint Apprenticeship Training programs.

8730 apprentices in Joint Apprenticeship Training programs were female.

Executive Director of Affiliated Construction Trades Ohio., attributes the increase to continued concerted efforts by the Building Trades to diversify its workforce.

""The Building Trades offer tremendous opportunities for growth and advancement,"" said Szollosi.

""Both at the local level and here at the state level, we are doing a better job of explaining that those opportunities are available to any person who is willing to work hard.""

Working under a collectively bargained agreement also means no pay gap, something that is prevalent in corporate America.

First-year plumbing and pipefitting apprentice Stacie Alexander.

Sought out the opportunity for better income and a sense of pride in her work.

""I attended college and had an office job,"" says Alexander.

""But there was no job satisfaction. I wasn't making a livable wage and I definitely wasn't able to have the lifestyle that I wanted for my kids.""

Alexander is happy with her decision to join the Plumbers and Pipefitters Local Union 189, and hopes more women see the opportunities the Building Trades offer.

""Women need to understand that we can do the same work, we just do it differently,"" she says.

""It can seem intimidating, but it is all about safety. This is good work for women.""

There is a push at both the state and national levels for more workforce training.

In Ohio., the Department of Jobs and Family Services reports that the state ended 2017 with 9,044 Ohioans in Joint Apprenticeship Training programs.

Was created by the Ohio State Building and Construction Trades Council to encourage economic and industrial development and promote industry best practices for the state's public and private construction.

The organization includes 14 regional councils and 137 local affiliates representing nearly 94,000 highly skilled, highly trained Building Trades workers across Ohio."
354,Matt Arco,3/29/2018 12:58,"New Jersey's trade unions stand to benefit from Gov. Phil Murphy's first budget to the tune of $10 million, the governor announced Thursday.

That's because the new governor wants to spend $10 million to help support union apprenticeship programs and other partnerships the administration has yet to detail.

Murphy announced his plans at a ribbon-cutting ceremony in Edison for a new training facility for the Northeast Regional Council of Carpenters.

""As you flip the switch on this new apprenticeship facility,"" Murphy said.

""Please sign me up as your partner.""

Murphy trashes Christie, and these public workers cheer.

The governor unveiled his $37.4 billion state budget proposal, which calls for some $1.6 billion in new taxes, on March 13.

Now it's time for Murphy to sell his blueprint to his base as he works behind the scenes with lawmakers to craft a final budget ahead of the state's June 30 deadline.

He was doing just that among some 200 carpenters and other officials on Thursday.

""New Jersey was built by union hands and by working together we will see that union hands rebuild it,"" Murphy said.

""We will provide support for apprenticeship programs like this one right here,"" he said, ""Along with other union-led apprenticeship programs.""

Some of the $10 million Murphy wants to spend on trade unions would go to the newly established New Jersey Apprenticeship Network, which would include the training facility he visited.

The funding would come from the $34.5 million in his budget designated for the Workforce Development Partnership Program."
356,Eric Wildstein,3/29/2018 16:05,"Middle and high school students became acquainted with potential careers in advanced manufacturing Thursday at Gaston College.

In partnership with Gaston's public school system, local manufacturing companies and economic development organizations, the community college hosted its annual Advanced Manufacturing Career Expo at its Dallas campus.

About 800 students from 22 Gaston schools attended the expo, where they visited the displays from participating manufacturers, met with their representatives and learned about employment opportunities at each.

This is the first year that middle school students have been invited to participate in the expo.

Students also gleaned information about the education required for various job positions and opportunities to receive financial assistance.

Landon Brice, a junior at East Gaston High School, has helped his father detail vehicles for years, and recently started his own side business detailing cars.

He attended the event to learn more about welding classes and other ways that he can learn the skills required in the field of auto body repair and detailing.

""There's pretty good money in that field,"" said Brice.

""I wanted to expand my knowledge on careers I could have for my path in the future.""

Several demonstrations were also held at the adjacent Center for Advanced Manufacturing in the Gastonia Technology Park.

Gaston College opened the $18 million Center last year to expand its training offerings for students and to help better equip local manufacturers with a skilled workforce.

The expo has led to a variety success stories for students who have attended the event in the past.

Daniel Vasquez Ramos attended previous career expos as a student at Stuart W. Cramer High, where he met with representatives from and learned about opportunities with the American & Efird textiles company.

After graduating high school in June 2017, he gained employment at American & Efird and has since held various jobs.

He currently works there with dye machines and measuring the chemicals required for specific batches of product.

""I am most interested in learning the basics of electrical engineering and mechanics, and I hope to one day enter an apprenticeship at A&E,"" said Ramos, who has aspirations become an electrical engineer.

Gaston College also introduced students to its existing Apprenticeship 321 program, where students can receive job-specific training and a cost-free education and simultaneously earn money working for a manufacturing company.

The college recently received a $200,000 grant investment from Duke Energy and Piedmont Natural Gas, which will be used for tuition support for advanced manufacturing students participating in Apprenticeship 321.

This spring, the college and public school system will help to jumpstart the careers of rising high school seniors through a new pre-apprenticeship program.

The program will offer such students an opportunity to investigate careers through part-time jobs with participating companies.

During their pre-apprenticeship, students who are enrolled in their high schools' Career and Technical Education programs will complete coursework related to one of the occupational pathways currently offered in the Apprenticeship 321 program.

Such pathways include chemical operator, industrial maintenance mechanic and machine setup operator, to name a few.

The students will participate in daily operations at the workplace, develop direct contact with employees, and learn about particular careers while performing certain assigned job tasks within the company.

""Through this program, they can get their foot in the door and when they have finished high school they can start at a higher placement level at the company than someone who has no prior experience with that employer,"" said Brett Buchanan, Career and Technical Education director for Gaston's public schools.

""If they continue on to the Apprenticeship 321 program, they will be able to make money, save money on the cost of education, and earn a certificate in their trade."""
359,Press Release,3/29/2018 20:00,"U.S. Department of Labor Secretary Alexander Acosta will address the Governor?s 2018 Future Ready Iowa Summit (link is external) on Tuesday, April 3, 2018, in Des Moines. Sec. Acosta is scheduled to speak near the end of summit on ""Working with Iowa to Confront Workforce Challenges.""  In addition to the summit, Sec. Acosta is scheduled to visit the IowaWORKS Center in Des Moines, Central Campus in Des Moines, Waukee APEX, the Iowa Correctional Institution for Women in Mitchellville, Anamosa Penitentiary and hold a roundtable discussion with businesses regarding Registered Apprenticeship. 

The goal of the Governor?s 2018 Future Ready Iowa Summit is to bring together leaders from business and industry, education and nonprofit, along with elected officials, students and others to amplify the public conversation about transforming education and the workforce.  The agenda will feature a showcase of work-based learning exhibits, table talks, networking opportunities and breakout sessions."
362,Keith Meyer,3/30/2018 12:52,"On Tuesday, March 13, the Federal Energy Regulatory Commission determined they now have the information necessary to complete their analysis and publish a schedule for the drafting of an Environmental Impact Statement for the Alaska LNG project.

The outcome of this process should be an order on March 8, 2020, that authorizes the Alaska Gasline Development Corporation to construct Alaska LNG. On behalf of AGDC and Alaskans across the state, I want to say how grateful I am to FERC and this federal administration for their responsiveness and action on this critical infrastructure project.

AGDC first filed an application for a Natural Gas Act Section 3 permit with FERC on April 17, 2017.

That application reflected thousands of hours of work by our team.

FERC reviewed more than 60,000 pages of AGDC reports in just eight months.

They responded with 801 questions seeking clarification and further data.

AGDC provided responses to 100 percent of those questions by the beginning of this year.

Additional questions are inevitable and typical of a project of this magnitude.

We anticipate that we will continue to go back and forth in dialogue with FERC throughout the permitting process.

It is nothing short of commendable how quickly and thoroughly the lead federal regulators have worked with us so far.

The gasline is a vital component of Alaska's future and will turbocharge our economy.

The Alaska LNG project will be the nation's largest energy project.

This project will bring thousands of jobs to Alaskans, slash the cost of energy in our communities, and allow Alaska's massive, proven but stranded natural gas resources to secure energy dominance for our country.

Construction equals jobs and could begin as early as 2020.

We anticipate up to 12,000 direct jobs during construction.

The range of direct and indirect occupations involved in this project will require a workforce from across the state.

In response to the FERC announcement, the president of the Alaska AFL-CIO stated, ""We are heartened by this great news from FERC. In a short while we, along with many other Alaska organizations, will be building a workforce for this project which will help turn our lagging construction economy around.""

Alaska businesses and resident workers will be first in line to benefit.

The State of Alaska's Alaska Bidder and Alaska Hire policies and a strong project labor agreement will make certain this happens.

Alaskans are already training for the various roles this project will require.

We can be proud of our network of in-state Joint Apprenticeship Training Centers, career and technical education providers, Registered Apprenticeship programs, and the University of Alaska system.

We have long been at the top of the game when it comes oil and gas related training and Fairbanks hosts the only comprehensive pipeline industry training center in the United States.

To meet the employment needs of this project with Alaska Hire, we must continue to expand the capacity of Alaska's training programs and institutions.

We all know that high energy costs have long presented a chokepoint for Alaska's economy.

Once the pipeline is complete, Alaska gas will go to Alaska communities before making its way to Asia.

Access to this new source of energy could lower the cost of energy in communities like Fairbanks by half or more.

Thanks to state Sen. Lyman Hoffman, D-Bethel, 20 percent of the state's ownership royalty share will go toward a rural capital energy fund so even communities off the pipeline corridor will benefit.

Finally, we recognize that reducing the trade imbalance between the U.S. and China is a top priority for our federal administration.

Our analysts believe that no project in the country could have a greater immediate impact on reducing that trade imbalance.

Leaders in Washington, D.C., have made it clear they recognize that potential as well.

Alaska's congressional delegation, our Legislature and our local community leaders all deserve a lot of credit for their commitment and vision for this project.

With another critical step forward two weeks ago, the team at AGDC is on track to make the Alaska LNG project deliver for all Alaskans, from Kotzebue to Ketchikan.

Keith Meyer is the president of the Alaska Gasline Development Corporation."
364,Mary Rittling,3/31/2018 2:01,"Those unfamiliar with 21st century apprenticeships may believe on-the-job training no longer exists.  There is certainly a higher demand for skilled workers ready to add value immediately upon hiring, and educated apprentices do this by bringing with them academic preparation and hands-on classroom experiences.  They also bring a proven willingness and capacity to continue learning. Apprenticeships still occur today and are a great benefit to employers as well as students.

A variety of industries utilize apprenticeships to prepare their next generation of skilled employees. Essentially, apprenticeships offer on-the-job training in highly specialized occupations.  Over the past several years, Davidson County Community College has sought to introduce the idea or help better establish programs that allow students to pair their classroom knowledge with real world experiences, all while gaining professional employment."
370,Staff,4/2/2018 8:38,"Those labels are given to apprentices, who appear to be taken seriously right now by the state of Tennessee.

The states of Alabama and South Carolina have established apprenticeship programs.

""We don't have a state strategy,"" said Ann Thompson, workforce development director at the Tennessee Department of Economic and Community Development.

As a result, ECD has been conducting a statewide ""Apprenticeship Tour"" to network with employers and educators and develop that strategy.

The tour made a stop last Tuesday at Northeast State's Regional Center for Advanced Manufacturing - ground zero for apprenticeship training in Kingsport.

""What occurs here in Northeast Tennessee is very unique apprenticeship is not a dirty word to you,"" Thompson told about 60 educators and employers at the RCAM. ""This is a listening tour this is not a time to talk about all the great things of this state.""

Thompson pointed out there were 5.8 million open positions in the nation as of last December with an overall 4.1 percent unemployment rate.

Both Tennessee's and Virginia's unemployment rate is currently under 4 percent.

""There's an issue here,"" Thompson noted.

"" There are people not matched to the jobs we need, and we need to close that gap together it's no secret that Eastman is our largest utilizer of apprenticeship programs the goal is to go after additional grant dollars to implement this strategy.

Eastman Training Associate Laurey Conway noted Eastman currently has 408 apprentices in 12 different occupations.

""There are several different benefits to an apprentice program,"" she told the group.

""The main one is we know how to train people who do not know how to be mechanics, or operators or lab analysts, etc. we also call it a structured training program it used to be book learning, nowadays it's mostly online but they test on job-related material they have to be qualified and certified.""

Jeff McCord, Northeast State's vice president for Economic and Workforce Development, pointed out one of the things the community college has the benefit of seeing is companies like Eastman having a long history of apprenticeships.

""A journeyman certificate is a degree. You have a different accrediting body but it's a degree,"" McCord insisted."
376,Staff,4/3/2018 12:07,"Officials with the Wilkes County Schools and Wilkes Community College are on the right track in starting an apprenticeship program.

Now, more local employers need to join this effort to address their need for skilled workers, reduce employee turnover and improve productivity.

Simultaneously, they'll be providing pathways for young Wilkes Countians to gain decent-paying jobs and practical education with virtually no debt.

Apprenticeships are jobs in which workers are paid to learn a set of skills through on-the-job training.

The apprenticeship program in North Carolina and many other places includes classroom instruction, for which students also are paid.

In North Carolina, employers work with state officials to create written agreements that specify the length of a participant's training, related technical instruction, an outline of skills apprentices need to learn and wages they will earn.

Wages increase as apprentices progress in the program, thus providing incentives to become more valuable employees.

England, Germany and other countries rely on apprenticeships as a primary way to develop a highly skilled, competitive workforce because they boost workers' earnings and raise productivity levels of participating companies.

Adjusting for population size, the United States has less than 10 percent of the number of apprenticeships in the United Kingdom.

Closer to home, South u00c7arolina has one of America's strongest apprenticeship programs.

Our sister state's success is to some extent attributed to starting students in the program after their junior year of high school with classwork and on-the-job training.

In Wilkes, it also starts the summer after a student's junior year.

South Carolina also offers tax credits for participating companies, which North Carolina should consider.

The traditional route for apprenticeships is the building trades and local contractors have said there is a great need in Wilkes for people with electrical, plumbing and similar skills.

South Carolina's apprenticeship program from the beginning encouraged participation of other fields like nursing, pharmacy and information technology.

The concept of a formal, paid training program can be applied to almost any occupation.

England has overhauled its apprenticeship program in recent years, resulting in a majority of new British apprentices now choosing programs in service sectors such as business administration and retail.

The initial participating companies in the inaugural program in Wilkes illustrate this diversity with their pre-apprenticeships, which are designed to lead to apprenticeships.

Industrial maintenance technicians at Inteflex Group, Jeld-Wen, Gardner-Glass Products and ECMD with apprenticeships inu202f at;.

Cyber-security specialists and graphic designers at Infusion Points;.

Manual machinists and machine builders at Meadows Mills;.

IT support technicians and network support representatives at Wilkes Communications.

Surveys show that nearly all U.S. employers who sponsor apprenticeship programs recommend them.

Businesses in countries with more expansive apprenticeship programs show very high levels of satisfaction.

Apprenticeships are a proven workforce development tool that offers substantial benefits to both workers and businesses, thus improving quality of life in communities with these programs."
378,Riia O'Donnell,4/3/2018 13:00,"New Jersey Governor Phil Murphy has announced plans to create a path to state residents to pursue high-skilled careers through paid training programs that also could award college credit.  The governor has proposed $10 million for the New Jersey Apprenticeship Network in his 2019 budget, and the state says it also will seek out industry and corporate partners.  Funds will be administered by the state's labor department's Workforce Development Partnership Program, and the governor's budget also includes $34.5 million for new and expanded programs from that division.

While stakeholders test various approaches to solving the skills gap, the federal government is betting on apprenticeships. And some states and employers are following suit.  New Jersey is latest to do so, and the fact that the state's program was announced at a carpentry training center may signal that construction and related fields may be a focus. In the wake of a devastating hurricane season last year, many training programs for carpenters and construction workers were fast-tracked. But even as recovery efforts have waned, the need for skilled workers has not. Similarly, major retailers in the home improvement industry, like Lowe?s and Home Depot, are providing training, mentoring and placement for employees to create a steady stream of workers for their contractor offerings."
380,West Virginia Executive,4/3/2018 16:02,"Employers in need of qualified workers and job seekers wanting to learn marketable skills may both discover what they need through a new program called Apprenticeship In Motion.

The West Virginia Development Office has teamed up with its partners at the West Virginia Department of Education, WorkForce West Virginia, the Robert C. Byrd Institute at Marshall University and the Community and Technical College System of West Virginia to create a new registered apprenticeship program.

In a registered apprenticeship program, workers learn through a combination of on-the-job and in-the-classroom instruction.

Apprenticeship In Motion promotes and expands registered apprenticeship activity in West Virginia.

This working group of partners identify, standardize and develop courses that are needed statewide to increase the number of registered apprenticeship programs and improve the capacity of the traditional providers to better serve the apprenticeship model.

Throughout April and May, AIM will host seven summits around the Mountain State.

Summit attendees will hear from senior business leaders from across the country about why apprenticeship has been an effective training model in their workplaces.

Attendees can access information and resources to get started on developing an apprenticeship program in their small businesses or companies.

AIM Summits are being funded through a grant obtained from the U.S. Department of Labor.

All summits are open to the public and free to attend.

To learn more or register for a summit, visit WestVirginia."
383,Staff,4/4/2018 3:00,"The West Virginia Department of Commerce and the Governor's Guaranteed Workforce staff are hosting a series of summits, including one in Oak Hill, focusing on apprenticeships.

The Oak Hill Apprenticeship in Motion: West Virginia summit is scheduled for May 2 at the Fayette Institute of Technology.

The goal of the summits are to educate businesses in ways to attract qualified applicants, reduce absenteeism, reduce turnover, increase productivity and reduce the cost of training, the news release said.

At the summit, people will hear from businesses across the country about experiences with implementing apprenticeship programs, the release said.

Employers in areas including health care, manufacturing, technology, cyber security, logistics, tourism and hospitality will share experiences with apprenticeship training.

AIM West Virginia is a program under the state's Development Office.

It promotes and expands registered apprenticeship activity in West Virginia.

The working group of partners identify, standardize and develop courses statewide to provide companies tools and resources to integrate apprenticeship programs into their current training and human resources strategies."
384,Staff,4/4/2018 7:00,"EDISON - Gov. Phil Murphy announced plans March 29 to create the New Jersey Apprenticeship Network, a new path for state residents to enter high-skilled careers through paid apprenticeships that may include college credit.

The announcement took place at a ribbon-cutting ceremony for the Northeast Regional Council of Carpenters' new state-of-the-art training center in Edison.

The training center will serve as the state's location for education and training for over 1,000 carpenter apprentices.

""A stronger and fairer New Jersey starts with creating a workforce that is ready and trained to build a world-class infrastructure for our state,"" Murphy stated in a release.

""The New Jersey Apprenticeship Network will help to fulfill our need for skilled workers while training countless New Jersey residents for well-paying jobs. This historic investment in our state's future workers will ensure that New Jersey continues to lead the nation in a strong, well-trained workforce.""

The governor's proposed budget for Fiscal Year 19 includes $10 million to support the New Jersey Apprenticeship Network, which would include support for organized labor training programs like the ones held at the new training center, as well as new partnerships that are in progress.

The state will seek out industry and corporate partners.

The New Jersey Apprenticeship Network would be funded from Workforce Development Partnership Program funds, administered by the Department of Labor and Workforce Development.

Murphy's budget includes $34.5 million in WDPP funds for new and expanded programs.

""The Department of Labor and Workforce Development is very excited to work with Gov. Murphy in establishing a new Apprenticeship Network,"" stated Robert Asaro-Angelo, Commissioner of Labor and Workforce Development.

""For far too long, harder-to-place workers - whether they be young people starting their careers, veterans who have served their country, ex-offenders hoping for a second chance, or older workers who have been displaced from their long-held jobs - have been afterthoughts on the employment spectrum.""

""Equipping these and other residents with the technical skills employers require uplifts workers and businesses and elevates New Jersey's economy. We're proud to be part of this forward-thinking, permanent employment pathway that will expand our talent pool to the most in-demand industries in our state.""

Murphy has directed Asaro-Angelo, Acting Commissioner Lamont Repollet of the Department of Education, and Acting Secretary of Higher Education Zakiya Smith Ellis to put together a comprehensive plan for the New Jersey Apprenticeship Network."
